Name: ВРЕМЯ Number: 66 Type: 1 Dimension: ДTBP     Count: 9147
time: 04:38:53:184	Value: 6.1214017345E7
time: 04:38:58:048	Value: 6.121402204E7
time: 04:38:58:048	Value: 6.1214022056E7
time: 04:38:58:048	Value: 6.1214022072E7
time: 04:38:58:048	Value: 6.121402225E7
time: 04:38:58:048	Value: 6.1214022266E7
time: 04:38:58:048	Value: 6.1214022282E7
time: 04:38:58:304	Value: 6.1214022299E7
time: 04:38:58:304	Value: 6.1214022315E7
time: 04:38:58:304	Value: 6.1214022331E7
time: 04:38:58:304	Value: 6.1214022347E7
time: 04:38:58:304	Value: 6.1214022363E7
time: 04:38:58:304	Value: 6.1214022379E7
time: 04:38:58:304	Value: 6.1214022509E7
time: 04:38:58:304	Value: 6.1214022525E7
time: 04:38:58:560	Value: 6.1214022541E7
time: 04:38:58:560	Value: 6.1214022558E7
time: 04:38:58:560	Value: 6.1214022574E7
time: 04:38:58:560	Value: 6.121402259E7
time: 04:38:58:560	Value: 6.1214022606E7
time: 04:38:58:560	Value: 6.1214022622E7
time: 04:38:58:560	Value: 6.1214022638E7
time: 04:38:58:560	Value: 6.1214022768E7
time: 04:38:58:560	Value: 6.1214022784E7
time: 04:38:58:816	Value: 6.12140228E7
time: 04:38:58:816	Value: 6.1214022817E7
time: 04:38:58:816	Value: 6.1214022833E7
time: 04:38:58:816	Value: 6.1214022849E7
time: 04:38:58:816	Value: 6.1214022865E7
time: 04:38:58:816	Value: 6.1214022881E7
time: 04:38:58:816	Value: 6.1214022897E7
time: 04:38:58:816	Value: 6.1214022914E7
time: 04:38:58:816	Value: 6.121402293E7
time: 04:38:58:816	Value: 6.1214022946E7
time: 04:38:58:816	Value: 6.1214022962E7
time: 04:38:58:816	Value: 6.1214023027E7
time: 04:38:58:816	Value: 6.1214023043E7
time: 04:38:59:072	Value: 6.1214023108E7
time: 04:38:59:072	Value: 6.1214023173E7
time: 04:38:59:072	Value: 6.1214023189E7
time: 04:38:59:328	Value: 6.1214023351E7
time: 04:38:59:328	Value: 6.1214023367E7
time: 04:38:59:328	Value: 6.1214023383E7
time: 04:38:59:328	Value: 6.1214023399E7
time: 04:38:59:328	Value: 6.1214023415E7
time: 04:38:59:328	Value: 6.1214023432E7
time: 04:38:59:328	Value: 6.1214023448E7
time: 04:38:59:328	Value: 6.1214023464E7
time: 04:38:59:328	Value: 6.121402348E7
time: 04:38:59:328	Value: 6.1214023513E7
time: 04:38:59:328	Value: 6.1214023529E7
time: 04:38:59:328	Value: 6.1214023545E7
time: 04:38:59:328	Value: 6.1214023561E7
time: 04:38:59:584	Value: 6.1214023577E7
time: 04:38:59:584	Value: 6.1214023594E7
time: 04:38:59:584	Value: 6.1214023755E7
time: 04:38:59:584	Value: 6.1214023772E7
time: 04:38:59:584	Value: 6.1214023788E7
time: 04:38:59:584	Value: 6.1214023804E7
time: 04:38:59:840	Value: 6.121402382E7
time: 04:38:59:840	Value: 6.1214023836E7
time: 04:38:59:840	Value: 6.1214023853E7
time: 04:38:59:840	Value: 6.1214024031E7
time: 04:39:00:096	Value: 6.1214024095E7
time: 04:39:00:096	Value: 6.1214024112E7
time: 04:39:00:096	Value: 6.1214024128E7
time: 04:39:00:096	Value: 6.1214024192E7
time: 04:39:00:096	Value: 6.1214024209E7
time: 04:39:00:096	Value: 6.1214024225E7
time: 04:39:00:096	Value: 6.1214024241E7
time: 04:39:00:096	Value: 6.1214024257E7
time: 04:39:00:096	Value: 6.1214024273E7
time: 04:39:00:096	Value: 6.121402429E7
time: 04:39:00:096	Value: 6.1214024306E7
time: 04:39:00:096	Value: 6.1214024322E7
time: 04:39:00:352	Value: 6.1214024338E7
time: 04:39:00:352	Value: 6.1214024354E7
time: 04:39:00:352	Value: 6.1214024371E7
time: 04:39:00:352	Value: 6.1214024387E7
time: 04:39:00:352	Value: 6.1214024403E7
time: 04:39:00:352	Value: 6.1214024419E7
time: 04:39:00:352	Value: 6.1214024435E7
time: 04:39:00:352	Value: 6.12140245E7
time: 04:39:00:352	Value: 6.1214024565E7
time: 04:39:00:352	Value: 6.1214024581E7
time: 04:39:00:608	Value: 6.1214024597E7
time: 04:39:00:608	Value: 6.1214024613E7
time: 04:39:00:608	Value: 6.121402463E7
time: 04:39:00:608	Value: 6.1214024646E7
time: 04:39:00:608	Value: 6.1214024662E7
time: 04:39:00:608	Value: 6.1214024678E7
time: 04:39:00:608	Value: 6.1214024694E7
time: 04:39:00:608	Value: 6.121402471E7
time: 04:39:00:608	Value: 6.1214024727E7
time: 04:39:00:608	Value: 6.1214024743E7
time: 04:39:00:608	Value: 6.1214024759E7
time: 04:39:00:608	Value: 6.1214024775E7
time: 04:39:00:608	Value: 6.1214024791E7
time: 04:39:00:608	Value: 6.1214024808E7
time: 04:39:00:608	Value: 6.1214024824E7
time: 04:39:00:864	Value: 6.1214024856E7
time: 04:39:00:864	Value: 6.1214024872E7
time: 04:39:00:864	Value: 6.1214024889E7
time: 04:39:00:864	Value: 6.1214024905E7
time: 04:39:00:864	Value: 6.1214024921E7
time: 04:39:00:864	Value: 6.1214024937E7
time: 04:39:00:864	Value: 6.1214024953E7
time: 04:39:00:864	Value: 6.1214024969E7
time: 04:39:00:864	Value: 6.1214024986E7
time: 04:39:00:864	Value: 6.1214025002E7
time: 04:39:00:864	Value: 6.1214025018E7
time: 04:39:00:864	Value: 6.1214025034E7
time: 04:39:00:864	Value: 6.121402505E7
time: 04:39:00:864	Value: 6.1214025067E7
time: 04:39:00:864	Value: 6.1214025083E7
time: 04:39:00:864	Value: 6.1214025099E7
time: 04:39:01:120	Value: 6.1214025115E7
time: 04:39:01:120	Value: 6.1214025131E7
time: 04:39:01:120	Value: 6.1214025148E7
time: 04:39:01:120	Value: 6.1214025164E7
time: 04:39:01:120	Value: 6.121402518E7
